id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-07-21_PCILT_gunluk,PCILT,gunluk,2026-07-21,34.48,34.48,31.66,38.71,40.12,31.4,-8.93,STOP,-1.0,5,0.46,-1.14,2026-07-28,3
2026-07-22_DGGYO_gunluk,DGGYO,gunluk,2026-07-22,39.66,39.96,35.97,45.2,47.04,36.56,-8.51,STOP,-1.0,4,0.14,-1.02,2026-07-28,3
2026-07-24_GESAN_gunluk,GESAN,gunluk,2026-07-24,81.3,82.3,75.28,90.33,93.35,73.9,-10.21,STOP,-1.0,2,0.06,-1.29,2026-07-28,3
2026-07-27_SEKUR_gunluk,SEKUR,gunluk,2026-07-27,10.85,11.2,9.26,13.24,14.04,10.8,-3.57,GAP_IPTAL,0.0,0,0.0,0.0,2026-07-28,3
2026-07-08_VBTYZ_gunluk,VBTYZ,gunluk,2026-07-08,29.66,29.3,26.7,34.1,35.58,30.56,4.3,TRAIL,0.9,14,2.22,-0.47,2026-07-29,3
2026-07-13_OZYSR_gunluk,OZYSR,gunluk,2026-07-13,12.77,12.58,12.08,13.8,14.14,12.59,0.08,TRAIL,0.75,11,3.42,-0.24,2026-07-29,3
2026-07-14_RGYAS_gunluk,RGYAS,gunluk,2026-07-14,198.2,198.2,190.38,209.93,213.85,201.0,1.41,DEAD,0.36,10,1.48,-0.13,2026-07-29,3
2026-07-16_AKFYE_gunluk,AKFYE,gunluk,2026-07-16,24.4,24.5,22.43,27.35,28.33,23.88,-2.53,TRAIL,0.81,9,2.17,-0.43,2026-07-29,3
2026-07-22_PKART_gunluk,PKART,gunluk,2026-07-22,138.2,138.2,120.88,164.18,172.84,114.4,-17.22,STOP,-1.0,5,0.08,-1.41,2026-07-29,3
2026-07-22_SANFM_gunluk,SANFM,gunluk,2026-07-22,9.69,9.69,8.92,10.85,11.23,8.96,-7.53,STOP,-1.0,6,0.17,-1.03,2026-07-30,3
2026-07-23_TGSAS_gunluk,TGSAS,gunluk,2026-07-23,180.6,182.8,174.0,190.5,193.79,172.7,-5.53,STOP,-1.0,5,0.67,-1.23,2026-07-30,3
2026-07-24_SMRTG_gunluk,SMRTG,gunluk,2026-07-24,11.98,12.06,11.22,13.12,13.51,11.1,-7.96,STOP,-1.0,4,0.49,-1.14,2026-07-30,3
2026-07-24_MRSHL_haftalik,MRSHL,haftalik,2026-07-24,1718.0,1726.0,1514.7,2022.95,2124.6,1500.0,-13.09,STOP,-1.0,4,0.12,-1.07,2026-07-30,3
2026-06-18_AKSUE_gunluk,AKSUE,gunluk,2026-06-18,37.02,36.9,35.28,39.62,40.49,41.52,12.52,TRAIL,2.43,30,9.01,-0.99,2026-07-31,3
2026-07-17_ARSAN_haftalik,ARSAN,haftalik,2026-07-17,3.62,3.61,2.98,4.58,4.9,3.37,-6.65,DEAD,-0.38,10,0.19,-0.54,2026-07-31,3
2026-07-24_ODAS_gunluk,ODAS,gunluk,2026-07-24,8.52,8.61,7.85,9.53,9.87,7.84,-8.94,STOP,-1.0,5,0.47,-1.03,2026-07-31,3
2026-06-11_ARMGD_gunluk,ARMGD,gunluk,2026-06-11,133.0,133.0,120.78,151.33,157.44,180.5,35.71,TRAIL,2.56,36,6.4,0.0,2026-08-03,3
2026-07-24_ANHYT_haftalik,ANHYT,haftalik,2026-07-24,105.9,105.9,95.73,121.15,126.23,111.9,5.67,TRAIL,1.05,10,1.63,-0.23,2026-08-07,3
2026-07-24_ENJSA_haftalik,ENJSA,haftalik,2026-07-24,105.4,106.0,93.02,123.97,130.15,113.2,6.79,DEAD,0.55,10,0.73,-0.08,2026-08-07,3
2026-07-06_CCOLA_gunluk,CCOLA,gunluk,2026-07-06,82.4,82.4,78.82,87.77,89.56,83.25,1.03,TRAIL,1.04,26,3.1,-0.74,2026-08-12,3
2026-08-12_DOAS_gunluk,DOAS,gunluk,2026-08-12,194.4,180.0,184.95,208.57,213.29,174.5,-3.06,GAP_IPTAL,0.0,0,0.0,0.0,2026-08-13,3
